class_name;class_idx;prompt
person;1;"a photo of a {name}"
person;2;"a photo of a {name}"
person;3;"a photo of a {name}"
person;4;"a photo of a {name}"
person;5;"a photo of a {name}"
bicycle;1;"A photo of a sleek black {name} parked outside a modern art museum in a bustling city center, surrounded by busy street performers and street vendors."
bicycle;2;"A photo of a vintage red {name} leaning against a historic brick wall in a charming small town, surrounded by colorful flower pots and quaint shops."
bicycle;3;"A photo of a high-tech silver {name} floating in mid-air on a futuristic space station, surrounded by neon lights and strange alien creatures."
bicycle;4;"A photo of a rugged green {name} nestled among the rocks and trees of a scenic mountain trail, surrounded by soaring peaks and a serene lake."
bicycle;5;"A photo of a sparkling gold {name} sitting on a pristine white beach alongside a crystal clear ocean, surrounded by swaying palm trees and a warm sunset."
car;1;"A photo of a sleek silver {name} parked in front of a bustling city skyline."
car;2;"A picture of a vintage red {name} parked next to a serene lake on a sunny day."
car;3;"A shot of a futuristic electric {name} driving through a neon-lit metropolis."
car;4;"An image of a rugged 4x4 {name} surrounded by tall mountains and a dense forest."
car;5;"A photo of a luxurious black {name} parked in front of a pristine beach with clear blue waters."
motorcycle;1;"A photo of a sleek black {name} parked outside a bustling city cafe on a sunny afternoon ."
motorcycle;2;"A photo of a vintage red {name} surrounded by tall trees and autumn leaves in a serene forest ."
motorcycle;3;"A photo of a shiny silver {name} cruising along a winding coastal road on a clear summer evening ."
motorcycle;4;"A photo of a rugged off-road {name} nestled among rocks and desert shrubs in a dry and dusty landscape ."
motorcycle;5;"A photo of a sporty green {name} leaning against a modern urban rooftop, surrounded by skyscrapers and city lights ."
airplane;1;"A photo of a sleek {name} soaring over a picturesque [mountain range]."
airplane;2;"A photo of a vintage {name} parked next to a bustling [city street]."
airplane;3;"A photo of a massive {name} landing on a runway surrounded by towering [trees]."
airplane;4;"A photo of a {name} hovering above a serene [lake] at sunset."
airplane;5;"A photo of a {name} taking off from a crowded [beach] with palm trees swaying in the background."
bus;1;"A photo of a {name} driving through a bustling city street with tall skyscrapers and neon lights at night ."
bus;2;"A photo of a {name} stopped at a rural bus stop with rolling hills and fields in the background ."
bus;3;"A photo of a {name} navigating through a winding mountain road with stunning rock formations and a scenic viewpoint in the distance ."
bus;4;"A photo of a {name} traveling through a crowded marketplace with vibrant stalls and vendors selling goods of all kinds ."
bus;5;"A photo of a {name} parked next to a sandy beach with clear blue water and palm trees swaying in the wind ."
train;1;"A photo of a sleek {name} traveling through a scenic coastal route with rocky cliffs and crashing waves in the background."
train;2;"A photo of a vintage {name} parked in a dusty old train station surrounded by cobweb-covered signs and faded ticket booths."
