class_name;class_idx;prompt
bench;1;'a photo of a {name} in a bamboo forest'
bench;2;'a photo of a {name} in a dense fog'
bench;3;'a photo of a {name} in a cave'
bench;4;'a photo of a {name} on a narrow alleyway'
bench;5;'a photo of a {name} inside a greenhouse'
bench;6;'a photo of a {name} in the middle of a cornfield'
bench;7;'a photo of a {name} under a waterfall'
bench;8;'a photo of a {name} in a salt flat'
bench;9;'a photo of a {name} on a deserted island'
bench;10;'a photo of a {name} in a ghost town'
bicycle;1;'a photo of a {name} in a cave'
bicycle;2;'a photo of a {name} on a frozen lake'
bicycle;3;'a photo of a {name} in a bamboo forest'
bicycle;4;'a photo of a {name} on a rooftop garden'
bicycle;5;'a photo of a {name} in a vineyard'
bicycle;6;'a photo of a {name} in a narrow alleyway'
bicycle;7;'a photo of a {name} in a ghost town'
bicycle;8;'a photo of a {name} at an archaeological site'
bicycle;9;'a photo of a {name} on a deserted island'
bicycle;10;'a photo of a {name} in a dense forest'
book;1;'a photo of a {name} on the edge of a volcano crater'
book;2;'a photo of a {name} hanging from a tree in a dense jungle'
book;3;'a photo of a {name} on a raft in the middle of the ocean'
book;4;'a photo of a {name} in an empty theater stage'
book;5;'a photo of a {name} in the middle of a frozen lake'
book;6;'a photo of a {name} buried in sand dunes'
book;7;'a photo of a {name} in an abandoned subway station'
book;8;'a photo of a {name} in the ruins of an ancient temple'
book;9;'a photo of a {name} at the bottom of a waterfall'
book;10;'a photo of a {name} on a deserted island'
bottle;1;'a photo of a {name} on a battlefield'
bottle;2;'a photo of a {name} in the middle of a desert oasis'
bottle;3;'a photo of a {name} in a cave'
bottle;4;'a photo of a {name} on an abandoned amusement park ride'
bottle;5;'a photo of a {name} in a cemetery at night'
bottle;6;'a photo of a {name} in an abandoned building'
bottle;7;'a photo of a {name} on a glacier'
bottle;8;'a photo of a {name} buried in sand'
bottle;9;'a photo of a {name} in a tree'
bottle;10;'a photo of a {name} in a haunted house'
bowl;1;'a photo of a {name} in a haunted house'
bowl;2;'a photo of a {name} on a frozen lake'
bowl;3;'a photo of a {name} in the crater of a volcano'
bowl;4;'a photo of a {name} at the top of a mountain'
bowl;5;'a photo of a {name} in a hot air balloon'
bowl;6;'a photo of a {name} in the ruins of an ancient temple'
bowl;7;'a photo of a {name} in an abandoned building'
bowl;8;'a photo of a {name} on a deserted island'
bowl;9;'a photo of a {name} in a dense forest'
bowl;10;'a photo of a {name} in the middle of a deserted highway'
car;1;A photo of a {name} on a narrow mountain ledge.
car;2;A photo of a {name} in a tunnel made entirely of vines and foliage.
car;3;A photo of a {name} in an abandoned amusement park.
car;4;A photo of a {name} in an old, disused quarry.
car;5;A photo of a {name} on a rooftop parking lot of a skyscraper.
car;6;A photo of a {name} in an old, overgrown cemetery.
car;7;A photo of a {name} on a narrow bridge over a deep ravine.
car;8;A photo of a {name} inside a large, empty warehouse.
car;9;A photo of a {name} in a ghost town.
car;10;A photo of a {name} on a racetrack covered in snow.
cell_phone;1;'a photo of a {name} floating in space'
cell_phone;2;'a photo of a {name} inside an old, uninhabited castle'
cell_phone;3;'a photo of a {name} buried in sand'
cell_phone;4;'a photo of a {name} on top of a mountain'
cell_phone;5;'a photo of a {name} on a small boat in the middle of the ocean'
cell_phone;6;'a photo of a {name} inside a hollow tree'
cell_phone;7;'a photo of a {name} on a bridge made of ropes'
cell_phone;8;'a photo of a {name} inside a freezer'
cell_phone;9;'a photo of a {name} on a floating ice chunk in the Arctic'
cell_phone;10;'a photo of a {name} on a rooftop in a bustling city'
chair;1;'a photo of a {name} in an empty theater'
chair;2;'a photo of a {name} in a snow-covered field with the Northern Lights above'
chair;3;'a photo of a {name} on a floating ice sheet'
chair;4;'a photo of a {name} inside an abandoned factory'
chair;5;'a photo of a {name} atop a mountain'
chair;6;'a photo of a {name} in a narrow alley'
chair;7;'a photo of a {name} at the edge of a volcano crater'
chair;8;'a photo of a {name} in a cave'
chair;9;'a photo of a {name} in the middle of a desert oasis'
chair;10;'a photo of a {name} on a small boat'
clock;1;'a photo of a {name} on a deserted island'
clock;2;'a photo of a {name} in the middle of a desert oasis'
clock;3;'a photo of a {name} in a dense forest'
clock;4;'a photo of a {name} on a glacier'
clock;5;'a photo of a {name} in a ghost town'
clock;6;'a photo of a {name} in a bamboo forest'
clock;7;'a photo of a {name} on a mountaintop'
clock;8;'a photo of a {name} in an abandoned warehouse'
clock;9;'a photo of a {name} in a cave'
clock;10;'a photo of a {name} in a treehouse'
computer_mouse;1;'a photo of a {name} in the middle of a deserted road'
computer_mouse;2;'a photo of a {name} on a basketball court'
computer_mouse;3;'a photo of a {name} in an abandoned factory'
computer_mouse;4;'a photo of a {name} inside an antique teapot'
computer_mouse;5;'a photo of a {name} in a dollhouse'
computer_mouse;6;'a photo of a {name} in a bird's nest'
computer_mouse;7;'a photo of a {name} in a hospital operating room'
computer_mouse;8;'a photo of a {name} in a sandcastle'
computer_mouse;9;'a photo of a {name} on top of a mountain'
computer_mouse;10;'a photo of a {name} on a merry-go-round'
cup;1;'a photo of a {name} in a bird's nest'
cup;2;'a photo of a {name} on a tree branch'
cup;3;'a photo of a {name} atop a mountain'
cup;4;'a photo of a {name} floating in a pond'
cup;5;'a photo of a {name} hanging from a chandelier'
cup;6;'a photo of a {name} in the ruins of an ancient temple'
cup;7;'a photo of a {name} in an empty stadium'
cup;8;'a photo of a {name} in the middle of a desert road'
cup;9;'a photo of a {name} on the rail of a roller coaster'
cup;10;'a photo of a {name} on a window ledge of a skyscraper'
fork;1;'a photo of a {name} on a chessboard'
fork;2;'a photo of a {name} on a tree branch'
fork;3;'a photo of a {name} in a candy bowl'
fork;4;'a photo of a {name} on a rooftop'
fork;5;'a photo of a {name} in a bird's nest'
fork;6;'a photo of a {name} in a jar of honey'
fork;7;'a photo of a {name} in a shoe'
fork;8;'a photo of a {name} in a block of ice'
fork;9;'a photo of a {name} on a playground slide'
fork;10;'a photo of a {name} in a fishbowl'
keyboard;1;'a photo of a {name} buried in sand at the beach'
keyboard;2;'a photo of a {name} inside an ancient ruin'
keyboard;3;'a photo of a {name} in the middle of a street in a ghost town'
keyboard;4;'a photo of a {name} at the top of a skyscraper'
keyboard;5;'a photo of a {name} under ice in a frozen lake'
keyboard;6;'a photo of a {name} in a dense jungle'
keyboard;7;'a photo of a {name} in an abandoned warehouse'
keyboard;8;'a photo of a {name} in the middle of a desert'
keyboard;9;'a photo of a {name} on a mountaintop'
keyboard;10;'a photo of a {name} on a boat in the open sea'
knife;1;'a photo of a {name} in the rainforest'
knife;2;'a photo of a {name} in a block of ice'
knife;3;'a photo of a {name} on a bridge at night'
knife;4;'a photo of a {name} on top of a mountain'
knife;5;'a photo of a {name} in an abandoned building'
knife;6;'a photo of a {name} under a microscope'
knife;7;'a photo of a {name} at the edge of a volcano crater'
knife;8;'a photo of a {name} embedded in a tree'
knife;9;'a photo of a {name} on a rooftop overlooking a city'
knife;10;'a photo of a {name} on a floating ice floe'
laptop;1;'a photo of a {name} on a cliff edge'
laptop;2;'a photo of a {name} in a bamboo forest'
laptop;3;'a photo of a {name} under a waterfall'
laptop;4;'a photo of a {name} buried in sand'
laptop;5;'a photo of a {name} on an ice fishing hut' 
laptop;6;'a photo of a {name} in an abandoned building'
laptop;7;'a photo of a {name} on a rooftop garden'
laptop;8;'a photo of a {name} in a vineyard'
laptop;9;'a photo of a {name} in a medieval castle'
laptop;10;'a photo of a {name} floating on a lily pad'
motorcycle;1;'a photo of a {name} at the edge of a volcano crater'
motorcycle;2;'a photo of a {name} on a deserted island beach'
motorcycle;3;'a photo of a {name} on the salt flats under a starry night sky'
motorcycle;4;'a photo of a {name} on a floating ice shelf'
motorcycle;5;'a photo of a {name} on a rooftop terrace'
motorcycle;6;'a photo of a {name} at the entrance of a deep cave'
motorcycle;7;'a photo of a {name} on a precarious mountain trail'
motorcycle;8;'a photo of a {name} in a lush, overgrown greenhouse'
motorcycle;9;'a photo of a {name} under a waterfall'
motorcycle;10;'a photo of a {name} in the middle of a dense jungle'
potted_plant;1;'a photo of a {name} in an old, dilapidated greenhouse'
potted_plant;2;'a photo of a {name} at a subway station'
potted_plant;3;'a photo of a {name} at an astronomical observatory'
potted_plant;4;'a photo of a {name} on a glacier'
potted_plant;5;'a photo of a {name} in an abandoned factory'
