class_name;class_idx;prompt
person;1;'a photo of a {name} with a hat on a snowy mountain'
person;2;'a photo of a {name} in the rain'
person;3;'a photo of a young {name} in a field on a sunny day'
person;4;'a photo of a {name} in a crowd at night'
person;5;'a photo of a {name} on a beach'
person;6;'a photo of an elderly {name} at a bus stop'
person;7;'a photo of a {name} in a park at noon'
person;8;'a photo of a {name} wearing glasses in a library'
person;9;'a photo of a tall {name} under an umbrella during a storm'
person;10;'a photo of a {name} at sunset'
bicycle;1;'a photo of a {name} on a foggy road'
bicycle;2;'a photo of a red {name} in sunny park'
bicycle;3;'a photo of a {name}'
bicycle;4;'a photo of a {name} on a city street'
bicycle;5;'a photo of a {name} at sunset'
bicycle;6;'a photo of a {name} under snowy conditions'
bicycle;7;'a photo of a blue {name} at dawn'
bicycle;8;'a photo of a vintage {name}'
bicycle;9;'a photo of a {name} by the sea at morning'
bicycle;10;'a photo of a {name} at night under streetlights'
car;1;'a photo of a {name} during a storm'
car;2;'a photo of a sleek {name} at sunset'
car;3;'a photo of a large {name} on a windy desert road at dusk'
car;4;'a photo of a blue {name} under the clear sky at morning'
car;5;'a photo of a {name} in dense fog at dawn'
car;6;'a photo of a white {name} in front of an old barn'
car;7;'a photo of a rusty {name} in the rain'
car;8;'a photo of a vintage {name} near the ocean'
car;9;'a photo of a sports {name}'
car;10;'a photo of a shiny black {name} on a mountain road'
motorcycle;1;'a photo of a {name} at sunset'
motorcycle;2;'a photo of a {name} under a cloudy sky'
motorcycle;3;'a photo of a {name} by the beach at dusk'
motorcycle;4;'a photo of a rugged {name} on a desert trail'
motorcycle;5;'a photo of a shiny {name} in a city'
motorcycle;6;'a photo of a {name}'
motorcycle;7;'a photo of a black {name} in heavy rain'
motorcycle;8;'a photo of a {name} in a field at sunrise'
motorcycle;9;'a photo of a sleek {name}'
motorcycle;10;'a photo of a {name} at night'
airplane;1;'a photo of an {name} above the mountains'
airplane;2;'a photo of a sleek {name} in the sky at noon'
airplane;3;'a photo of an {name} over the ocean at dawn'
airplane;4;'a photo of an {name} at sunset'
airplane;5;'a photo of a large {name} at an airport at night'
airplane;6;'a photo of a colorful {name} in clear weather'
airplane;7;'a photo of a jet {name} in the desert at dusk'
airplane;8;'a photo of a vintage {name} under cloudy skies'
airplane;9;'a photo of an {name} on a grass airstrip at sunrise'
airplane;10;'a photo of a white {name} in a snowstorm'
bus;1;a photo of a crowded {name} in foggy weather
bus;2;a photo of a yellow {name} under stormy skies
bus;3;a photo of a {name} near a beach on a sunny day
bus;4;a photo of a long {name} crossing a bridge at twilight
bus;5;a photo of a {name} on a {name}y street
bus;6;a photo of a colorful {name} parked in a valley during the morning mist
bus;7;a photo of a {name}
bus;8;a photo of a double-decker {name} at sunset
bus;9;a photo of a blue {name}
bus;10;a photo of a {name} in the rain
train;1;'a photo of a {name} in a tunnel at midday'
train;2;'a photo of a blue {name} at a station at night'
train;3;'a photo of a colorful {name} in a cityscape'
train;4;'a photo of a sleek {name} in the mountains'
train;5;'a photo of a {name} through thick fog'
train;6;'a photo of a {name} at sunrise'
train;7;'a photo of a {name}'
train;8;'a photo of a rusty {name} in a snowy landscape'
train;9;'a photo of a long {name} crossing a bridge on a sunny afternoon'
train;10;'a photo of a {name} at dusk'
truck;1;a photo of a {name} at night
truck;2;a photo of a vintage {name} on a busy city street
truck;3;a photo of a {name} on a highway
truck;4;a photo of a large {name} under snowy conditions
truck;5;a photo of a compact {name} in a desert
truck;6;a photo of a rusty {name} at sunrise
truck;7;a photo of a {name}
truck;8;a photo of a black {name} on a muddy rural road in the early morning
truck;9;a photo of a white {name} by the sea
truck;10;a photo of a blue {name}
boat;1;'a photo of a {name} in the rain'
boat;2;'a photo of a vibrant {name} in the snow'
boat;3;'a photo of a {name} under stormy skies'
boat;4;'a photo of a small {name}'
boat;5;'a photo of a {name} under the night sky'
boat;6;'a photo of a blue {name} on a lake'
boat;7;'a photo of a luxurious {name} at sunset'
boat;8;'a photo of an old {name} on a calm sea'
boat;9;'a photo of a sleek {name} at noon'
boat;10;'a photo of a fishing {name} in fog'
traffic light;1;'a photo of a {name} at night'
traffic light;2;'a photo of a {name}'
traffic light;3;'a photo of a {name} at a bustling intersection during rush hour'
traffic light;4;'a photo of an illuminated {name} in front of a skyline at dusk' 
traffic light;5;'a photo of a flashing {name} during a thunderstorm'
traffic light;6;'a photo of a multi-colored {name} under clear skies at midday'
traffic light;7;'a photo of a broken {name}'
traffic light;8;'a photo of a {name} on a busy street'
traffic light;9;'a photo of a {name} hanging over a flooded street'
traffic light;10;'a photo of a {name} during a foggy morning'
fire hydrant;1;'a photo of a {name} on a busy street'
fire hydrant;2;'a photo of a {name} at night'
fire hydrant;3;'a photo of a rusty {name} in rain'
fire hydrant;4;'a photo of a yellow {name} in snow'
fire hydrant;5;'a photo of a vintage {name} in a foggy alley'
fire hydrant;6;'a photo of a red {name}'
fire hydrant;7;'a photo of a gleaming {name} during a storm'
fire hydrant;8;'a photo of a {name} in a desert landscape'
fire hydrant;9;'a photo of a {name} near flowering bushes in springtime'
fire hydrant;10;'a photo of a blue {name} on a mountain trail at noon'
stop sign;1;'a photo of a {name} in rain'
stop sign;2;'a photo of a {name} at night'
stop sign;3;'a photo of a {name} on a snowy street'
stop sign;4;'a photo of a rusty {name}'
stop sign;5;'a photo of a {name} at dusk'
stop sign;6;'a photo of a {name} under a clear blue sky'
stop sign;7;'a photo of a {name} with graffiti'
stop sign;8;'a photo of a {name}'
stop sign;9;'a photo of a {name} on a desert road'
stop sign;10;'a photo of a {name} by a rural road'
parking meter;1;'a photo of a digital {name} under streetlights at midnight'
parking meter;2;'a photo of a rusty {name}'
parking meter;3;'a photo of an old {name} under snowflakes'
parking meter;4;'a photo of a {name} at dusk'
parking meter;5;'a photo of a modern {name} at dawn'
parking meter;6;'a photo of a sleek {name} in a busy area'
parking meter;7;'a photo of a vintage {name} in front of a historic building'
parking meter;8;'a photo of a {name} in a thunderstorm'
parking meter;9;'a photo of a {name} on a foggy morning'
parking meter;10;'a photo of a {name}'
bench;1;'a photo of a curved {name} under a tree at sunrise'
bench;2; 'a photo of a blue {name} on a snowy hill at night'
bench;3;'a photo of a sleek metal {name} in a busy station'
bench;4; 'a photo of a {name} in a park'
bench;5;'a photo of a {name} with a broken leg by a road'
bench;6;'a photo of a stone {name} in a garden'
bench;7;'a photo of a colorful {name} under cherry blossoms at noon'
bench;8; 'a photo of a {name} at dusk'
bench;9; 'a photo of a worn {name} in the rain'
bench;10;'a photo of a white {name} in a deserted alley during a stormy evening'
bird;1;'a photo of a {name} in a tree'
bird;2;'a photo of a {name} in dense fog'
bird;3;'a photo of a colorful {name}'
bird;4;'a photo of a {name} on a lake at sunrise'
bird;5;'a photo of a sleek {name} in a desert'
bird;6;'a photo of a bright {name} on a windy beach'
bird;7;'a photo of a {name} during sunset'
bird;8;'a photo of a {name} in rain'
bird;9;'a photo of a {name}'
bird;10;'a photo of a large {name} flying in clear skies'
cat;1;'a photo of a {name} on a misty field'
cat;2; 'a photo of a sleek {name} in a garden'
cat;3; 'a photo of a {name} at sunset'
cat;4; 'a photo of a {name} in the snow'
cat;5; 'a photo of a {name}'
cat;6;'a photo of a spotted {name} under a rainy window'
cat;7; 'a photo of a fluffy {name}'
cat;8;'a photo of a black {name} in a dark alley at night'
cat;9;'a photo of a {name} on a warm kitchen floor in the morning'
cat;10; 'a photo of a {name} during a storm'
dog;1;'a photo of a {name} at sunset'
dog;2;'a photo of a {name} by the lake'
dog;3;'a photo of a {name} in the park'
dog;4;'a photo of a {name}'
dog;5;'a photo of a small {name} in a basket on a sunny day'
dog;6;'a photo of a spotted {name} with a ball in a sunny field'
dog;7;'a photo of a fluffy {name}'
dog;8;'a photo of a golden {name} on a beach during sunset'
dog;9;'a photo of a {name} in rain'
dog;10;'a photo of a {name} beside a snowy tree at twilight'
horse;1;'a photo of a {name} with a stormy sky in the background'
horse;2;'a photo of a black {name} in a meadow at dawn'
horse;3;'a photo of a {name} under snowfall'
horse;4;'a photo of a dappled {name} by the lake'
horse;5;'a photo of a {name} in the rain'
horse;6;'a photo of a {name} at night under city lights'
horse;7;'a photo of a {name} during a foggy morning'
horse;8;'a photo of a {name}'
horse;9;'a photo of a brown {name} in a forest'
horse;10;'a photo of a white {name} near the ocean'
sheep;1;'a photo of a white {name} on a mountain'
sheep;2;'a photo of a {name} with its lamb'
sheep;3;'a photo of a {name} at dawn'
sheep;4;'a photo of a curly-haired {name} in a valley'
sheep;5;'a photo of a {name}'
sheep;6;'a photo of a {name} by the lake at sunset'
sheep;7;'a photo of a {name} crossing a road in the rain at dusk'
sheep;8;'a photo of a {name} in the meadow'
sheep;9;'a photo of a spotted {name} during misty morning'
sheep;10;'a photo of a small {name} in a field at noon'
cow;1;'a photo of a {name} during sunset'
cow;2;'a photo of a large {name} near a mountain'
cow;3;'a photo of a {name} in the rain by the river'
cow;4;'a photo of a fluffy {name} in a windy prairie'
cow;5;'a photo of a {name} on a gravel path at twilight'
cow;6;'a photo of a black {name} at night'
cow;7;'a photo of a {name} in a field'
cow;8;'a photo of a spotted {name}'
cow;9;'a photo of a {name} on a misty meadow in the morning'
cow;10;'a photo of a {name} on a snowy hill'
elephant;1;'a photo of an {name} at sunset'
elephant;2;'a photo of an {name} under starry skies at night'
elephant;3;'a photo of a tusked {name} in a dry landscape'
elephant;4;'a photo of a giant {name} under a tree'
elephant;5;'a photo of a grey {name} near water at dawn'
elephant;6;'a photo of a large {name}'
