class_name;class_idx;prompt
bench;1;a photo of a {name} in a underwater cityscape
bench;2;a photo of a {name} in a on the moon
bench;3;a photo of a {name} in a floating in space
bench;4;a photo of a {name} in a middle of a desert
bench;5;a photo of a {name} in a in a jungle tree top
bench;6;a photo of a {name} in a bottom of the ocean
bench;7;a photo of a {name} in a on a glacier
bench;8;a photo of a {name} in a inside a cave deep underground
bench;9;a photo of a {name} in a on a roller coaster
bicycle;1;a photo of a {name} in a underwater scene
bicycle;2;a photo of a {name} in a moon landing site
bicycle;3;a photo of a {name} in a medieval battlefield
bicycle;4;a photo of a {name} in a volcanic eruption
bicycle;5;a photo of a {name} in a deep space
bicycle;6;a photo of a {name} in a prehistoric jungle
bicycle;7;a photo of a {name} in a desert oasis
bicycle;8;a photo of a {name} in a arctic ice field
bicycle;9;a photo of a {name} in a inside active volcano
bicycle;10;a photo of a {name} in a ancient pyramid interior
book;1;a photo of a {name} in a underwater cave
book;2;a photo of a {name} in a active volcano crater
book;3;a photo of a {name} in a antarctic ice shelf
book;4;a photo of a {name} in a desert sandstorm
book;5;a photo of a {name} in a deep sea submersible
book;6;a photo of a {name} in a nuclear reactor core
bottle;1;a photo of a {name} in a moon surface
bottle;2;a photo of a {name} in a inside volcano
bottle;3;a photo of a {name} in a surgical room
bottle;4;a photo of a {name} in a deep ocean trench
bottle;5;a photo of a {name} in a antartica ice sheet
bottle;6;a photo of a {name} in a high security vault
bottle;7;a photo of a {name} in a medieval battlefield
bowl;1;a photo of a {name} in a on the moon
bowl;2;a photo of a {name} in a underwater cave
bowl;3;a photo of a {name} in a in a volcano
bowl;4;a photo of a {name} in a on top of mount everest
bowl;5;a photo of a {name} in a in a desert
bowl;6;a photo of a {name} in a deep in a jungle
bowl;7;a photo of a {name} in a in antarctica
bowl;8;a photo of a {name} in a inside a factory
bowl;9;a photo of a {name} in a at the north pole
car;1;a photo of a {name} in a underwater realm
car;2;a photo of a {name} in a medieval castle
car;3;a photo of a {name} in a moon surface
car;4;a photo of a {name} in a deep jungle
car;5;a photo of a {name} in a ancient pyramid
car;6;a photo of a {name} in a iceberg field
car;7;a photo of a {name} in a sandy desert
car;8;a photo of a {name} in a high mountain peak
cell_phone;1;a photo of a {name} in a medieval battlefield
cell_phone;2;a photo of a {name} in a prehistoric cave
cell_phone;3;a photo of a {name} in a ancient egyptian pyramid
cell_phone;4;a photo of a {name} in a victorian era ballroom
cell_phone;5;a photo of a {name} in a revolutionary war encampment
cell_phone;6;a photo of a {name} in a roman empire forum
cell_phone;7;a photo of a {name} in a vikings village
cell_phone;8;a photo of a {name} in a ancient greek acropolis
chair;1;a photo of a {name} in a underwater reef
chair;2;a photo of a {name} in a middle of a desert
chair;3;a photo of a {name} in a on top of a mountain
chair;4;a photo of a {name} in a dense jungle path
chair;5;a photo of a {name} in a floating in space
chair;6;a photo of a {name} in a deep underground cave
chair;7;a photo of a {name} in a in the middle of a road
chair;8;a photo of a {name} in a on a frozen lake
chair;9;a photo of a {name} in a inside a moving elevator
clock;1;a photo of a {name} in a bottom of the ocean
clock;2;a photo of a {name} in a inside a volcano
clock;3;a photo of a {name} in a middle of a desert
clock;4;a photo of a {name} in a pre historic jungle
clock;5;a photo of a {name} in a deep space station
clock;6;a photo of a {name} in a ancient pyramid interior
clock;7;a photo of a {name} in a fantasy dragon cave
clock;8;a photo of a {name} in a abandoned ghost town
clock;9;a photo of a {name} in a secret underground bunker
clock;10;a photo of a {name} in a enchanted forest clearing
cup;1;a photo of a {name} in a underwater scene
cup;2;a photo of a {name} in a space station
cup;3;a photo of a {name} in a ancient battlefield
cup;4;a photo of a {name} in a on top of a moving train
cup;5;a photo of a {name} in a inside a volcano
cup;6;a photo of a {name} in a prehistoric jungle
cup;7;a photo of a {name} in a in the middle of a desert
cup;8;a photo of a {name} in a on the moon
fork;1;a photo of a {name} in a underwater reef scene
fork;2;a photo of a {name} in a desert dunes
fork;3;a photo of a {name} in a snowy mountain peak
fork;4;a photo of a {name} in a antarctic ice shelf
fork;5;a photo of a {name} in a mid air skydiving
fork;6;a photo of a {name} in a mars surface exploration
keyboard;1;a photo of a {name} in a underwater coral reef
keyboard;2;a photo of a {name} in a medieval battlefield
keyboard;3;a photo of a {name} in a moon landing site
keyboard;4;a photo of a {name} in a sahara desert oasis
keyboard;5;a photo of a {name} in a antarctic ice sheet
keyboard;6;a photo of a {name} in a siberian tundra winter
knife;1;a photo of a {name} in a childrens birthday party
knife;2;a photo of a {name} in a kindergarten classroom
knife;3;a photo of a {name} in a wedding ceremony
knife;4;a photo of a {name} in a ballet dance studio
knife;5;a photo of a {name} in a daycare center
knife;6;a photo of a {name} in a flower shop
