class_name;class_idx;prompt
bench;1;A photo of a sleek <name> in a train station at night.
bench;2;A photo of a modern <name> in a shopping mall.
bench;3;A photo of a <name> by a snow-covered path in winter.
bench;4;A photo of an old <name> in the park at sunset.
bench;5;A photo of a painted <name> under the stars.
bench;6;A photo of a <name> by the lake on a foggy morning.
bench;7;A photo of a <name> on a mountain trail at dawn.
bench;8;A photo of a <name>.
bench;9;A photo of a colorful <name> outside a museum on a sunny day.
bench;10;A photo of a curved <name> in a desert at sunset.
bicycle;1;'a photo of a rusty <name> against an old barn'
bicycle;2;'a photo of a <name> with a basket full of flowers at sunset'
bicycle;3;'a photo of a bright yellow <name> under a sunny sky'
bicycle;4;'a photo of a red <name> against a graffiti-covered wall'
bicycle;5;'a photo of a <name> covered in snow'
bicycle;6;'a photo of a blue <name> under cherry blossoms'
bicycle;7;'a photo of a <name> at dawn'
bicycle;8;'a photo of a child's <name> in a park during spring'
bicycle;9;'a photo of a mountain <name> on a rugged trail in the morning'
bicycle;10;'a photo of a <name> on a deserted road in the fog'
book;1;'a photo of a worn <name> on a bench in the snow'
book;2;'a photo of a large <name> on a desk at night'
book;3;'a photo of a vintage <name> on a blanket in a meadow at dusk'
book;4;'a photo of a blue <name> at dawn in the mountains'
book;5;'a photo of a <name>'
book;6;'a photo of a paperback <name> in a backpack in a forest'
book;7;'a photo of a <name> with a cracked spine on a staircase in an old building'
book;8;'a photo of a colorful <name> at sunset'
book;9;'a photo of a glossy <name> on a coffee table'
book;10;'a photo of an ancient <name> in the library'
bottle;1;'a photo of a <name> among autumn leaves at sunrise'
bottle;2;'a photo of a vintage <name> beside the ocean at dusk'
bottle;3;'a photo of a <name> caught in a thunderstorm'
bottle;4;'a photo of a shattered <name> in a desert'
bottle;5;'a photo of a <name> in rain'
bottle;6;'a photo of a frosted <name> in mist'
bottle;7;'a photo of a <name> at sunset'
bottle;8;'a photo of a reflective <name> on a city street at night'
bottle;9;'a photo of a <name> on a table'
bottle;10;'a photo of a blue <name>'
bowl;1;'A photo of a <name> on a beach at twilight'
bowl;2;'A photo of a <name>'
bowl;3;'A photo of a blue <name> on a kitchen counter'
bowl;4;'A photo of a transparent <name> under a cloudy sky'
bowl;5;'A photo of a cracked <name> in an abandoned house'
bowl;6;'A photo of a <name> on a high shelf at night'
bowl;7;'A photo of a ceramic <name> in the rain'
bowl;8;'A photo of a <name> under sunlight at noon'
bowl;9;'A photo of a <name> in the desert at dusk'
bowl;10;'A photo of a <name> filled with fruit'
car;1;'a photo of a convertible <name> on a coastal road with the ocean beside it at sunset'
car;2;'a photo of a vintage <name> in front of an old building'
car;3;'a photo of a <name> in the rain'
car;4;'a photo of a <name> in a garage'
car;5;'a photo of a <name>'
car;6;'a photo of a sporty <name> in a desert at dusk'
car;7;'a photo of a <name> on a bridge over a river in the morning mist'
car;8;'a photo of a small <name> in a bustling city at midday'
car;9;'a photo of a blue <name> during sunset'
car;10;'a photo of a <name> under the bright sun'
cell_phone;1;'a photo of a <name>'
cell_phone;2;'a photo of a blue <name> in a cafe'
cell_phone;3;'a photo of a pink <name> in a garden during springtime'
cell_phone;4;'a photo of a waterproof <name> near a waterfall'
cell_phone;5;'a photo of a sleek <name>'
cell_phone;6;'a photo of a black <name> at night'
cell_phone;7;'a photo of a vintage <name> in bright sunlight'
cell_phone;8;'a photo of a <name> by the beach at sunset'
cell_phone;9;'a photo of a small <name> in the fog at dawn'
