class_name;class_idx;prompt
bird;1;'a photo of a tiny {name} on a snowy branch during winter'
bird;2;'a photo of a spotted {name} in the desert'
bird;3;'a photo of a majestic {name} flying above the mountains at dusk'
bird;4;'a photo of a colorful {name} in the rainforest'
bird;5;'a photo of a {name} soaring under a rainbow after the rain'
bird;6;'a photo of a {name} on a bustling city street during the day'
bird;7;'a photo of a {name} perched on a snowy windowsill at night'
bird;8;'a photo of a sleek {name} on a lake at noon'
bird;9;'a photo of a {name} at sunrise'
bird;10;'a photo of a bright {name} in a flower garden'
car;1;'a photo of a red {name} with the backdrop of skyscrapers'
car;2;'a photo of a sports {name} in the desert at noon'
car;3;'a photo of a classic {name} in a forest with autumn leaves'
car;4;'a photo of a compact {name} on a mountain road in fog'
car;5;'a photo of a muscle {name} in a garage at dusk'
car;6;'a photo of an electric {name} parked in front of solar panels during the day'
car;7;'a photo of a white {name} crossing a bridge in the snow'
car;8;'a photo of a convertible {name} on a beach at sunset'
car;9;'a photo of a sleek {name} in the rain'
car;10;'a photo of a vintage {name} at sunrise'
cat;1;'A photo of a {name}'
cat;2;'A photo of a black {name} under a streetlight at night'
cat;3;'A photo of a sleek {name} in an alleyway at night'
cat;4;'A photo of a {name} in the shadows of an old building'
cat;5;'A photo of a white {name} by the window on a sunny afternoon'
cat;6;'A photo of a fluffy {name} in rain'
cat;7;'A photo of a {name} in snow at dusk'
cat;8;'A photo of a tabby {name} on a sandy beach in the morning'
cat;9;'A photo of a sleeping {name} on a cozy blanket'
cat;10;'A photo of a ginger {name} in a garden at daytime'
deer;1;'a photo of a white {name} in the winter landscape'
deer;2;'a photo of a graceful {name} on a misty mountainside at dawn'
deer;3;'a photo of a {name} under the pouring rain in the forest'
deer;4;'a photo of a {name} in a field during a thunderstorm'
deer;5;'a photo of a {name}'
deer;6;'a photo of a {name} with a backdrop of autumn leaves'
deer;7;'a photo of a {name} at the edge of a lake at twilight'
deer;8;'a photo of a {name} crossing a stream in the morning'
deer;9;'a photo of a young {name} in a sunlit meadow at noon'
deer;10;'a photo of a {name} standing on a rocky hill with the sunrise behind'
dog;1;'A photo of a brown {name} on a mountain trail at noon.'
dog;2;'A photo of a {name} in a cozy room with firelight'
dog;3;'A photo of a spotted {name} in the forest during autumn'
dog;4;'A photo of a playful {name} in a meadow on a sunny day.'
dog;5;'A photo of a {name} in a garden'
dog;6;'A photo of a small {name} under the rain downtown'
dog;7;'A photo of a {name} on the beach at sunrise.'
dog;8;'A photo of a fluffy {name} in the park at sunset.'
dog;9;'A photo of a majestic {name} on a cliff over the ocean at twilight.'
dog;10;'A photo of a {name} in the alley at night'
frog;1;'a photo of a {name} with its reflection in the water at dawn'
frog;2;'a photo of a tiny {name} on a leaf at night'
frog;3;'a photo of a {name}'
frog;4;'a photo of a spotted {name} on a lily pad at noon'
frog;5;'a photo of a vibrant blue {name} on a rock at midday'
frog;6;'a photo of a brown {name} in a desert'
frog;7;'a photo of a bright orange {name} in a dark cave'
frog;8;'a photo of a {name} at sunset'
frog;9;'a photo of a green {name} in a pond'
frog;10;'a photo of a camouflaged {name} blending into a mossy log'
horse;1;'a photo of a spotted {name} in a field during a sunny afternoon'
horse;2;'a photo of a brown {name} in the rain'
horse;3;'a photo of a graceful {name} beside a lake at dawn'
horse;4;'a photo of a playful {name} in an open field at dusk'
horse;5;'a photo of a chestnut {name} with mountains in the background'
horse;6;'a photo of a black {name} in a stable at night'
horse;7;'a photo of a {name} crossing a creek in a forest'
horse;8;'a photo of a majestic {name} atop a hill during sunrise'
horse;9;'a photo of a sleek {name} on a desert under the scorching sun'
horse;10;'a photo of a muscular {name} on a snowy trail'
plane;1;'a photo of a large {name}'
plane;2;'a photo of a shiny new {name} at a busy airport at twilight'
plane;3;'a photo of a sleek {name} over a snowy mountain at dawn'
plane;4;'a photo of a {name} during a thunderstorm'
plane;5;'a photo of a vintage {name} on a runway'
plane;6;'a photo of a {name} flying above a city at night'
plane;7;'a photo of a white {name} in the sky at sunset'
plane;8;'a photo of a colorful {name} under the stars'
plane;9;'a photo of a small {name} on a grassy field in the rain'
plane;10;'a photo of a {name}'
ship;1;'a photo of a {name} crossing icy waters at sunrise'
ship;2;'a photo of a large {name} during a storm'
ship;3;'a photo of a historic {name} under the stars'
ship;4;'a photo of a {name} with sails in the wind'
ship;5;'a photo of a ghostly {name} in fog'
ship;6;'a photo of a colorful {name} at dawn'
ship;7;'a photo of a luxurious {name} at sunset'
ship;8;'a photo of a {name} under a rainbow'
ship;9;'a photo of a {name} capsizing during a typhoon'
ship;10;'a photo of a tall {name} in the harbor at noon'
truck;1;'a photo of a sleek {name} in a thunderstorm'
truck;2;'a photo of a {name} by an old barn at dusk'
truck;3;'a photo of a red {name} on a snowy mountain road'
truck;4;'a photo of a large {name} in the desert at noon'
truck;5;'a photo of a black {name} under a clear blue sky'
truck;6;'a photo of a {name}'
truck;7;'a photo of a {name} under the bright city lights at night'
truck;8;'a photo of a lifted {name} in the mud during a rainy afternoon'
truck;9;'a photo of a small {name} on a bridge over calm waters at twilight'
truck;10;'a photo of a blue {name} in the rain'
