class_name;class_idx;prompt
bench;1;a photo of a wooden {name} in a park with autumn leaves
bench;2;a photo of a metal {name} in a city bus stop
bench;3;a photo of a rustic {name} in a beach boardwalk
bench;4;a photo of a modern {name} in a riverside walkway
bench;5;a photo of a ornate {name} in a mountain viewpoint
bench;6;a photo of a simple {name} in a garden pathway
bench;7;a photo of a painting {name} in a school campus
bench;8;a photo of a garden {name} in a train station platform
bench;9;a photo of a curved {name} in a lakefront dock
bench;10;a photo of a straight {name} in a forest clearing
bicycle;1;a photo of a speedy bike {name} in a city park path
bicycle;2;a photo of a vintage {name} in a suburban street
bicycle;3;a photo of a mountain bike {name} in a downtown sidewalk
bicycle;4;a photo of a racing {name} in a country road
bicycle;5;a photo of a foldable bike {name} in a mountain trail
bicycle;6;a photo of a electric {name} in a beach boardwalk
bicycle;7;a photo of a kids bike {name} in a river walkway
bicycle;8;a photo of a touring {name} in a college campus
bicycle;9;a photo of a hybrid bike {name} in a forest path
bicycle;10;a photo of a custom {name} in a bridge over river
book;1;a photo of a colorful cover {name} in a a dimly lit alleyway
book;2;a photo of a hardback edition {name} in a an old victorian mansion
book;3;a photo of a illustrated pages {name} in a a bustling city square
book;4;a photo of a dusty jacket {name} in a a quiet seaside town
book;5;a photo of a vintage binding {name} in a a snow covered forest
book;6;a photo of a glossy finish {name} in a an ancient ruined temple
book;7;a photo of a leather bound {name} in a the busy galley of a ship
book;8;a photo of a thick volume {name} in a a cramped attic room
book;9;a photo of a compact size {name} in a a lavish royal court
book;10;a photo of a dog eared pages {name} in a a small deserted island
bottle;1;a photo of a clear {name} in a kitchen counter
bottle;2;a photo of a amber {name} in a recycling bin
bottle;3;a photo of a frosted {name} in a beach picnic
bottle;4;a photo of a tall {name} in a dinner table
bottle;5;a photo of a short {name} in a office desk
bottle;6;a photo of a curvy {name} in a park bench
bottle;7;a photo of a square {name} in a sidewalk cafe
bottle;8;a photo of a ribbed {name} in a backyard barbecue
bottle;9;a photo of a opaque {name} in a supermarket shelf
bottle;10;a photo of a recycled {name} in a car cup holder
bowl;1;a photo of a rounded {name} in a kitchen counter
bowl;2;a photo of a deep {name} in a dining table
bowl;3;a photo of a colorful {name} in a picnic blanket
bowl;4;a photo of a ceramic {name} in a restaurant table
bowl;5;a photo of a glass {name} in a coffee table
bowl;6;a photo of a wooden {name} in a breakfast nook
bowl;7;a photo of a decorative {name} in a patio table
bowl;8;a photo of a large {name} in a buffet line
bowl;9;a photo of a small {name} in a school cafeteria
bowl;10;a photo of a textured {name} in a office desk
car;1;a photo of a luxury sedan {name} in a city street
car;2;a photo of a sleek sports {name} in a highway
car;3;a photo of a rugged suv {name} in a country road
