class_name;class_idx;prompt
bench;1;A photo of a sturdy {name} on a frosty lakeshore at twilight.
bench;2;A photo of a colorful {name} under a tree in the morning.
bench;3;A photo of an elegant {name} on a sunny rooftop garden in the late afternoon.
bench;4;A photo of a moss-covered {name} in a misty forest at dawn.
bench;5;A photo of an old {name} by the river at dawn.
bench;6;A photo of a modern {name} near the beach at sunrise.
bench;7;A photo of a wooden {name} in a park during sunset.
bench;8;A photo of a rustic {name} in a garden at noon.
bench;9;A photo of a metal {name} on a rainy street at night.
bench;10;A photo of a cozy {name} on a cloudy hillside in the afternoon.
bicycle;1;A photo of a vintage {name} on a snowy trail in the forest at dusk.
bicycle;2;A photo of a commuter {name} near a bustling market on a rainy day.
bicycle;3;A photo of a children's {name} in a school yard under overcast skies at midday.
bicycle;4;A photo of a shiny {name} under stormy clouds in the countryside at sunset.
bicycle;5;A photo of a rusty {name} under a clear blue sky in a park at sunrise.
bicycle;6;A photo of a mountain {name} in a lush green valley during late afternoon.
bicycle;7;A photo of an electric {name} against a backdrop of urban skyscrapers in the evening.
bicycle;8;A photo of a foldable {name} in a quaint village square during late morning.
bicycle;9;A photo of a sleek {name} beside a misty lake during early morning.
bicycle;10;A photo of a cargo {name} on a foggy dock at twilight.
book;1;A photo of a tattered {name} buried in sand on a windy day at the beach at sunrise.
book;2;A photo of a colorful {name} by the window on a rainy day in a quiet room in the morning.
book;3;A photo of a thick {name} stacked on a table in a modern apartment at night.
book;4;A photo of a red {name} covered in mist on a foggy morning bridge.
book;5;A photo of a dusty {name} on a shelf in a cozy library at sunset.
book;6;A photo of a glossy {name} lying on the beach under the noon sun.
book;7;A photo of a shiny {name} on a sunny windowsill in a quiet corner at noon.
book;8;A photo of a heavy {name} on the desk in a bustling library at midday.
book;9;A photo of a colorful picture {name} with a view of the mountains in the background during twilight.
book;10;A photo of a handwritten {name} lying on the grass in a garden at dusk.
bottle;1;a photo of a rustic {name} near a firepit in the backyard at early evening
bottle;2;a photo of a transparent {name} on a rooftop terrace during a starry night
bottle;3;a photo of a colorful {name} on a park bench under overcast weather at twilight
bottle;4;a photo of a green {name} under clear skies on the beach at sunrise
bottle;5;a photo of a stylish {name} among wildflowers in a field at sunset
bottle;6;a photo of a sleek {name} on a marble countertop in a bright kitchen at midday
bottle;7;a photo of a plastic {name} by a hiking trail with a clear afternoon sky
bottle;8;a photo of an empty {name} on a sandy shore on a sunny afternoon
bottle;9;a photo of a frosted {name} near a mountain under snowfall at dawn
bottle;10;a photo of a ceramic {name} in an urban alleyway during a rainy evening
bowl;1;A photo of a vintage {name} against a rainy window in the afternoon.
bowl;2;A photo of a colorful {name} on a table in the evening.
bowl;3;A photo of a painted {name} on the balcony under a starry sky.
bowl;4;A photo of a small {name} near the window on a foggy morning.
bowl;5;A photo of an elegant {name} in the park on a clear day at noon.
